Problem	Probable cause	Affirmation
Bulimia (intense hunger)	Fear and hopelessness. Frantic filling and purging of self-hatred.	Life loves, nourishes, and supports me. It is safe for me to live.
Bursitis (inflammation of the synovial bursa)	Symbolizes anger. Desire to strike someone.	Love relaxes and releases all that is unlike itself.
Bunion (bursitis of the big toe)	Lack of joy in looking at life.	I run forward joyfully to greet the wonderful events of my life.
Vaginitis (inflammation of the vaginal mucosa). See also: Women's illnesses, Leukorrhea	Anger at a partner. Sexual guilt. Self-punishment.	My love and approval of myself are reflected in how others treat me. I delight in my sexuality.
Varicose veins	Staying in a situation you hate. Disapproval. Feeling overloaded and crushed by work.	I am friends with truth; I live and move forward with joy. I love life and move freely within it.
Venereal diseases. See also: AIDS, Gonorrhea, Herpes, Syphilis	Sexual guilt. Need for punishment. Belief that genitals are sinful or unclean.	I lovingly and joyfully accept my sexuality and its expression. I accept only thoughts that support and improve my well-being.
Chickenpox	Tedious waiting for an event. Fear and tension. Heightened sensitivity.	I trust the natural process of life; hence my relaxation and peacefulness. All is well in my world.
Viral infection. See also: Infection	Lack of joy in life. Bitterness.	I gladly allow the flow of joy to pass through my life.
Epstein-Barr virus	Pushing beyond your limits. Fear of not measuring up. Depletion of inner resources. Stress virus.	I relax and acknowledge my self-worth. I am good enough. Life is easy and joyful.
Vitiligo (piebald skin)	Feeling completely alienated from everything. Not in your circle. Not part of the group.	I am at the very center of life, and it is full of love.
Blisters	Resistance. Lack of emotional protection.	I gently follow life and each new event in it. All is well.
Lupus	Giving up. Better to die than stand up for yourself. Anger and punishment.	I can stand up for myself easily and calmly. I claim full authority over myself. I love and approve of myself. My life is free and safe.
Inflammation. See also: Inflammatory processes	Fear. Rage. Inflamed consciousness.	My thoughts are quiet, calm, and focused.
Inflammatory processes	Conditions you must face in life trigger anger and disappointment.	I want to change all patterns of criticism. I love and approve of myself.
Ingrown toenail	Worry and guilt about your right to move forward.	Choosing the direction of my movement through life is my sacred right. I am safe and free.
Vulva (external female genitals)	Symbol of vulnerability.	It is safe to be vulnerable.
Pus discharge (periodontitis)	Anger at inability to make decisions. People with an undefined attitude toward life.	I approve of myself, and what suits me best is my own decisions.
Miscarriage (spontaneous abortion)	Fear. Fear of the future. "Not now—later." Wrong timing.	Divine Providence cares for what happens in my life. I love and value myself. All is well.
Gangrene	Painful psychic sensitivity. Joy drowned in unkind thoughts.	From now on all my thoughts are harmonious, and joy flows freely through me.
Gastritis. See also: Stomach ailments	Prolonged uncertainty. Feeling doomed.	I love and approve of myself. I am safe.
Hemorrhoids. See also: Anus	Fear of not meeting deadlines. Anger in the past. Fear of letting go. Burdened feelings.	I release everything but love. There is always time and space to do what I want.
Genitals	Symbolize masculine or feminine principles.	It is completely safe to be who I am.
Genitals: problems	Fear of not measuring up.	I rejoice in the expression of life that I am. In my present state I am perfection. I love and approve of myself.
Hepatitis. See also: Liver disorders	Resistance to change. Fear, anger, hate. The liver holds anger and rage.	My mind is clear and free. I release the past and move toward the new. All is well.
Genital herpes. See also: Venereal diseases	Belief in the sinfulness of sex and need for punishment. Shame. Belief in a punishing God. Dislike of genitals.	Everything in me is normal and natural. I delight in my sexuality and my body.
Cold sores. See also: Shingles	Intense desire to speak hurtfully. Unspoken bitterness.	Only love is in my words and thoughts. There is peace between me and life.
Hyperventilation of the lungs. See also: Choking attacks, Breathing disorders	Fear. Resistance to change. Distrust of the process of change.	It is safe for me to be in any part of the Universe. I love myself and trust the process of life.
Hyperthyroidism (syndrome due to increased thyroid activity). See also: Thyroid gland	Anger at being ignored.	I am at the center of life; I approve of myself and all I see around me.
Hyperfunction (increased activity)	Fear. Enormous pressure and feverish state.	I am safe. All pressure disappears. I am completely all right.
Hypoglycemia (low blood glucose)	Weighed down by the burdens of life. "What's the use?"	Now my life will be lighter, easier, and more joyful.
Hypothyroidism (syndrome due to decreased thyroid activity). See also: Thyroid gland	Giving up. Feelings of hopelessness and stagnation.	Now I build a new life by rules that fully satisfy me.
Pituitary gland	Symbolizes the control center.	My body and mind work together beautifully. I am in charge of my thoughts.
Hirsutism (excessive hair growth in women)	Hidden anger. Fear is often the cover used. Tendency to blame. Often: unwillingness to work on self-development.	I am my own loving parent. I am surrounded by love and approval. It is safe for me to show who I am.
Eyes	Symbolize the ability to see the past, present, and future clearly.	I look with love and joy.
Eye disorders. See also: Stye	Dislike of what you see in your own life.	From now on I create a life I enjoy looking at.
Eye disorders: astigmatism	Rejection of the self. Fear of seeing yourself in true light.	From now on I want to see my own beauty and greatness.
Eye disorders: nearsightedness. See also: Myopia	Fear of the future.	I accept Divine guidance, and I am always safe.
Eye disorders: glaucoma	Stubborn unwillingness to forgive. Old resentments weigh you down. Overwhelmed by it all.	I look at everything with love and tenderness.
Eye disorders: farsightedness	Feeling out of place in the world.	Nothing threatens me here and now. I see that clearly.
Eye disorders: childhood	Unwillingness to see what is happening in the family.	Now this child is surrounded by harmony, beauty, and joy; safety is assured.
Eye disorders: cataract	Inability to look forward with joy. A foggy future.	Life is eternal and full of joy.
Eye disorders: strabismus. See also: Keratitis	Unwillingness to see "what that is over there." Contrary action.	It is completely safe for me to see. My mind is at peace.
Eye disorders: exotropia (outward-turning strabismus)	Fear of looking at reality—right here.	I love and approve of myself—right now.
Glands	Symbolize "holding back." Something may start without your participation or desire.	I am the creative power in my own world.
Deafness	Rejection, stubbornness, isolation.	I listen to the Divine and rejoice in all I hear. I am an integral part of all that is.
Shin (lower leg)	Collapse of ideals. Shins symbolize life principles.	I live joyfully and lovingly at the level of my highest standards.
Ankle joint	Lack of flexibility and guilt. Ankles symbolize the ability to enjoy.	I deserve to enjoy life. I accept all the joys life offers me.
Dizziness	Fleeting, disconnected thoughts. Unwillingness to see.	In life I am calm and purposeful. I can live and rejoice in complete peace.
Headaches. See also: Migraine	Undervaluing yourself. Self-criticism. Fear.	I love and approve of myself. I look at myself with love. I am completely safe.
Gonorrhea. See also: Venereal diseases	Need for punishment.	I love my body. I love my sexuality. I love myself.
Throat	Channel of expressiveness and creativity.	I open my heart and sing of the joy of love.
Throat disorders. See also: Angina	Inability to stand up for yourself. Swallowed anger. Creative crisis. Unwillingness to change.	Making noise is allowed. My self-expression is free and joyful. I can easily stand up for myself. I demonstrate my creative ability. I want to change.
Fungus	Outdated beliefs. Unwillingness to release the past. Your past dominates the present.	I live joyfully and freely in today.
Influenza (epidemic). See also: Respiratory illnesses	Reaction to negative attitudes around you, accepted negative beliefs. Fear. Belief in statistics.	I am above accepted beliefs or rules. I believe in freedom from outside influence.
Breasts	Symbolize mothering, nurturing, and feeding.	There is a steady balance between what I take in and what I give to others.
Breasts: disorders	Denying yourself "nourishment." Putting yourself last.	I am needed. Now I care for myself, nourishing myself with love and joy.
Breasts: cyst, lumps, pain (mastitis)	Excess caring. Overprotection. Suppression of individuality.	I acknowledge everyone's freedom to be who they want to be. We are all free and safe.
Hernia	Broken relationships. Tension, burden, incorrect creative self-expression.	My mind is tender and harmonious. I love and approve of myself. Nothing stops me from being myself.
Herniated disc	Feeling that life has completely deprived you of support.	Life supports all my thoughts, so I love and approve of myself. All is well.
Depression	Anger you believe you have no right to feel. Hopelessness.	I move beyond the limits others live by. I create my own life.
Gums: disorders	Inability to follow through on decisions. Lack of a clear attitude toward life.	I am a decisive person. I follow through and lovingly support myself.
Childhood illnesses	Belief in calendars, social concepts, and made-up rules. Adults around behave like children.	This child has Divine protection and is surrounded by love. We demand that their psyche be inviolate.
Diabetes	Yearning for what never was. Strong need for control. Deep sorrow. Nothing pleasant left.	This moment is filled with joy. I begin to taste the sweetness of today.
Dysentery	Fear and concentration of anger.	I fill my mind with peace and calm, and it is reflected in my body.
Amoebic dysentery	Conviction that they are out to get you.	I am the embodiment of strength in my own world. I dwell in peace and calm.
Bacterial dysentery	Pressure and hopelessness.	I am filled with life, energy, and the joy of living.
Dysmenorrhea (menstrual cycle disorder). See also: Women's illnesses, Menstruation	Anger turned on yourself. Hatred of the female body or of women.	I love my body. I love myself. I love all my cycles. All is well.
Yeast infection. See also: Candidiasis, Thrush	Denial of your own needs. Refusing to support yourself.	From now on I support myself with love and joy.
Breathing	Symbolizes the ability to inhale life.	I love life. It is safe to live.
Breathing disorders. See also: Choking attacks, Hyperventilation of the lungs	Illness or refusal to breathe life fully. Not acknowledging your right to take up space or even to exist.	Living and breathing fully is my birthright. I am worthy of love. From now on I choose a full life.
Jaundice. See also: Liver disorders	Inner and outer prejudice. One-sided conclusions.	I relate to all people, including myself, with tolerance, compassion, and love.
Gallstones	Bitterness. Heavy thoughts. Curses. Pride.	The past can be released with joy. Life is beautiful, and so am I.
Stomach	Container for food. Also responsible for "digesting" thoughts.	I digest life with ease.
Stomach ailments. See also: Gastritis, Heartburn, Stomach or duodenal ulcer, Ulcer	Terror. Fear of the new. Inability to digest the new.	Life does not harm me. At any moment of the day I digest something new. All is well.
Women's illnesses. See also: Amenorrhea, Dysmenorrhea, Fibroma, Leukorrhea, Menstruation, Vaginitis	Rejection of oneself. Rejection of femininity. Rejection of the feminine principle.	I rejoice that I am a woman. I love being a woman. I love my body.
Rigidity (inflexible thinking)	Hard, inflexible thinking.	My position is secure enough that I can allow flexibility of mind.
Stuttering	Unreliability. No opportunity for self-expression. Crying forbidden.	I can freely stand up for myself. Now I calmly express everything I want. I communicate only with love.
Wrist	Symbolizes movement and lightness.	I act wisely, with lightness and love.
Fluid retention. See also: Swelling, Edema	What are you afraid to lose?	It is pleasant and joyful for me to release this.
Bad breath. See also: Halitosis	Angry thoughts, thoughts of revenge. The past gets in the way.	I joyfully release the past. From now on I express only love.
Body odor	Fear. Self-dislike. Fear of others.	I love and approve of myself. I am completely safe.
Constipation	Unwillingness to release outdated thoughts. Stuck in the past. Sometimes sarcasm.	As I release the past, new, fresh, living energy enters me. I let the flow of life pass through me.
Carpal tunnel syndrome. See also: Wrist	Anger and disappointment related to life's seeming unfairness.	I choose to build a life of joy and abundance. Life is easy for me.
Goiter. See also: Thyroid gland	Hatred of what life imposed on you. Victimhood. Feeling life is distorted. Unfulfilled personality.	I am the power in my life. No one stops me from being myself.
Teeth	Symbolize decisions.	I make wise decisions with ease and confidence.
Dental disorders. See also: Root canal	Prolonged indecision. Inability to recognize ideas for analysis and decision.	My decisions are based on principles of truth, and I know only right events happen in my life.
Wisdom tooth (impacted)	You leave no room in consciousness for laying a solid foundation for later life.	I open the door of my mind to life. Within me is vast space for my own growth and change.
Itching	Desires that conflict with character. Dissatisfaction. Remorse. Desire to escape a situation.	I am peaceful and calm where I am. I accept all the good in me, knowing all my needs and desires will be met.
Heartburn. See also: Stomach or duodenal ulcer, Stomach ailments, Ulcer	Fear. Fear. Fear. The grip of fear.	I breathe fully. I am safe. I trust the life process.
Excess weight. See also: Obesity	Fear. Need for protection. Unwillingness to feel. Defenselessness, self-denial. Suppressed drive to achieve desires.	I have no conflict with my feelings. Where I am is safe. I create my own safety. I love and approve of myself.
Ileitis (inflammation of the ileum), Crohn's disease, regional enteritis	Fear. Worry. Malaise.	I love and approve of myself. I do the best I can. My mind is at peace.
Impotence	Sexual pressure, tension, guilt. Social beliefs. Bitterness toward partner. Fear of mother.	From now on I easily and joyfully allow my sexual nature to express itself fully.
Infection. See also: Viral infection	Irritation, anger, annoyance.	From now on I become a peaceful and harmonious person.
Spinal curvature. See also: Rounded shoulders	Inability to go with the flow of life. Fear and attempts to hold outdated thoughts. Distrust of life. Lack of integrity. No courage of conviction.	I forget all fear. From now on I trust the life process. I know life is for me. I stand straight and proud with love.
Candidiasis. See also: Thrush, Yeast infection	Feeling scattered. Strong disappointments and anger. Claims and distrust of people.	I allow myself to be who I want to be. I deserve the best in life. I love and value myself and others.
Carbuncle. See also: Boil	Poisonous anger about your own unjust actions.	I release the past and allow time to heal wounds life once inflicted.
Cataract	Inability to look forward with joy. The future in a fog.	Life is eternal and full of joy. I eagerly await each new moment of life.
Cough. See also: Respiratory illnesses	Desire to shout at the world: "Look at me! Listen to me!"	I am noticed and highly valued. I am loved.
Keratitis. See also: Eye disorders	Intense anger. Desire to strike what you see and whom you see.	I allow the love from my heart to heal all I see. I choose peace and calm. All in my world is beautiful.
Cyst	Constant "replaying" of old hurts in the mind. Incorrect development.	I think that all is well. I love myself.
Intestine	Symbolizes release of the unnecessary. Assimilation. Absorption. Easy cleansing.	I easily assimilate and absorb all I need to know, and joyfully release the past. Letting go is so easy!
Intestine: problems	Fear of releasing all that is obsolete and unnecessary.	I easily and freely discard the old and joyfully welcome the new.
Skin	Protects our individuality. Organ of sensation.	Being myself, I feel calm.
Skin disorders. See also: Hives, Psoriasis, Rash	Worry. Fear, old emotional residue. I am threatened.	I protect myself with peaceful, joyful thoughts of love. The past is forgiven and forgotten. I have complete freedom now.
Knee. See also: Joints	Symbol of pride. Sense of the exceptional self.	I am a flexible and yielding person.
Knees: disorders	Stubbornness and pride. Inability to be yielding. Fear. Inflexibility. Unwillingness to give in.	Forgiveness. Understanding. Compassion. I yield and bend easily, and all is well.
Colic	Irritation, impatience, dissatisfaction with surroundings.	You respond only to love and gentle words. All is well.
Colitis. See also: Intestine, Colon mucosa, Spastic colitis	Uncertainty. Symbolizes ability to release the past easily.	I am part of life's clear rhythm and flow. All goes according to sacred purpose.
Coma	Fear. Avoiding someone or something.	We surround ourselves with protection and love. We create space for our healing.
Lump in the throat	Fear. Lack of trust in the life process.	I am safe. I believe life is for me. I express myself freely and joyfully.
Conjunctivitis. See also: Acute epidemic conjunctivitis	Anger and disappointment at what you see.	I look at everything with loving eyes. A harmonious solution exists, and I accept it.
Acute epidemic conjunctivitis. See also: Conjunctivitis	Anger and disappointment. Unwillingness to see.	I need not insist on being right. I love and approve of myself.
Cortical paralysis. See also: Paralysis	Need to unite the family through expressions of love.	I contribute to a peaceful family life where love reigns. All is well.
Coronary thrombosis. See also: Heart attack	Feelings of loneliness and fear. "I have flaws. I do too little. I'll never achieve this."	I am in complete union with life. The Universe gives me full support. All is well.
Root canal (tooth). See also: Teeth	Loss of ability to engage life confidently. Destruction of core beliefs.	I create a solid foundation for myself and my life. From now on my beliefs support me joyfully.
Bone(s). See also: Skeleton	Symbolize the structure of the Universe.	My body is beautifully designed and balanced.
Bone marrow	Symbolizes deepest beliefs about oneself. How you support and care for yourself.	Divine Spirit is the foundation of my life. I am safe, loved, and fully supported.
Bone disorders: fractures, cracks	Rebellion against others' authority.	The power in my own world is me.
Bone disorders: deformities. See also: Osteomyelitis, Osteoporosis	Depressed psyche and tension. Muscles not elastic. Inflexible thinking.	I breathe life fully. I relax and trust the flow and process of life.
Hives. See also: Rash	Small, hidden fears. Making mountains out of molehills.	I bring peace and calm into my life.
Blood	Expression of joy freely circulating in the body.	I express and receive the joy of life.
Blood disorders. See also: Leukemia, Anemia	Lack of joy. Lack of movement of thought.	New joyful thoughts circulate freely within me.
Blood: high pressure	Unresolved old emotional problems.	I joyfully release the past. My mind is at peace.
Blood: low pressure	Lack of love in childhood. Defeatist attitude: "What's the difference?! Nothing will work anyway."	From now on I live in the eternally joyful now. My life is full of joy.
Blood: clotting	You block the flow of joy.	I awaken new life within me. The flow continues.
Bleeding	Joy leaving. Anger. But where to?	I am the joy of life itself; I receive and give in a beautiful rhythm.
Bleeding gums	Lack of joy about decisions made in life.	I believe only right things happen in my life. My soul is calm.
Laryngitis	Anger interferes with speaking. Fear interferes with speaking out. Others dominate you.	Nothing stops me from asking for what I want. I have complete freedom of expression. My mind is at peace.
Left side of the body	Symbolizes receptivity, absorption, feminine energy, women, mother.	I have a beautiful balance of feminine energy.
Lungs	Symbolize the ability to inhale life.	I inhale life evenly and freely.
Lung disorders. See also: Pneumonia	Depression. Sadness. Fear of taking in life. Belief you are unworthy of a full life.	I can take in the fullness of life. I receive life with love to the end.
Leukemia. See also: Blood disorders	Inspiration cruelly suppressed. "What's the use?"	I rise above past limitation and accept the freedom of today. It is completely safe to be myself.
Tapeworm	Strong conviction that you are a victim and sinful. Helpless before what you take to be others' attitudes toward you.	Others reflect only the good feelings I have toward myself. I love and value all that is in me.
Lymph: disorders	Warning to reorient toward what matters most in life: love and joy.	Now what matters most to me is the joy of life itself. I go with the flow of life. My mind is at peace.
Fever	Anger. Boiling over.	I am a calm expression of peace and love.
Face	Symbolizes what we show the world.	It is safe for me to be myself. I express what I am.
Pubic bone	Symbolizes protection of the sex organs.	My sexuality is completely safe.
Elbow	Symbolizes changing direction and taking in new experience.	I accept new experience, new directions, and change with ease.
Malaria	Unbalanced relationship with nature and life.	I am one with nature and life in its fullness. I am safe.
Mastoiditis	Anger and disappointment. Unwillingness to see what is happening. Usually in children. Fear blocks understanding.	Divine peace and harmony surround and live within me. I am an oasis of peace, love, and joy. All is well in my world.
Uterus	Symbolizes the temple of creativity.	In my body I feel at home.
Meningitis	Inflamed thoughts and anger at life.	I release all blame and accept peace and the joy of life.
Menopause: problems	Fear of losing interest from others. Fear of aging. Self-dislike. Poor well-being.	Balance and inner peace stay with me through all cycle changes, and I bless my body with love.
Menstruation. See also: Amenorrhea, Dysmenorrhea, Women's illnesses	Rejection of one's femininity. Guilt, fear. Belief that all related to genitals is sinful or unclean.	I acknowledge myself as a full woman and consider all processes in my body normal and natural. I love and approve of myself.
Migraine. See also: Headaches	Hatred of being forced. Resistance to the flow of life. Sexual fears.	I relax and follow the flow of life, and life provides all I need in an easy and comfortable way.
Myopia. See also: Eye disorders	Fear of the future. Distrust of what lies ahead.	I trust the process of life; I am safe.
Brain	Symbolizes the computer, control panel.	I am the operator lovingly managing my brain.
Brain: tumor	Miscalculated beliefs. Stubbornness. Refusal to revise outdated stereotypes.	It is so easy for me to reprogram the computer of my mind. Life as a whole is renewal, and my mind is constant renewal.
Corns	Hardened areas of thinking—persistent effort to keep past pain in consciousness.	New paths and thoughts are completely safe. I release the burden of the past and move forward freely. I am safe. I enjoy freedom.
Thrush. See also: Candidiasis, Mouth, Yeast infection	Anger at accepting wrong decisions.	I accept my decisions with love, knowing I can always change them. I am completely safe.
Mononucleosis (Pfeiffer's disease, glandular fever)	Anger born of lack of love and undervaluing oneself. Indifference toward oneself.	I love, value, and care for myself. All is with me.
Motion sickness. See also: Travel sickness	Fear. Fear of death. Lack of control.	I am completely safe in the Universe. My soul is calm everywhere. I trust life.
Urethra: inflammation (urethritis)	Bitterness. You are bothered. Blame.	In my life I create only joyful deeds.
Urinary tract: infection	Irritation. Anger. Usually toward the opposite sex or sexual partner. You blame others.	I reject the thought pattern that caused this condition. I want to change. I love and approve of myself.
Muscles	Resistance to new experience. Muscles symbolize the ability to move through life.	I enjoy life as a joyful dance.
Muscular dystrophy	Growing up seems pointless.	I transcend my parents' limitations. I freely use all the best within me.
Adrenal disorders. See also: Addison's disease, Cushing's disease	Defeatist attitude. Not caring about oneself. Anxiety.	I love and approve of myself. Caring for myself is completely safe.
Narcolepsy	Unable to cope with something. Intense fear. Desire to get away from everyone and everything. Unwillingness to be here.	I rely on Divine wisdom and Providence, and that protects me at all times. I am safe.
Runny nose	Plea for help. Inner weeping.	I love and comfort myself in ways that feel good to me.
Neuralgia	Punishment for sinfulness. Torment of communication.	I forgive myself. I love and approve of myself. Communication brings joy.
Incontinence	Overflow of emotions. Years of holding back feelings.	I am willing to feel. Expressing emotions is safe for me. I love myself.
"Incurable diseases"	At this moment it is incurable by external means. You must go within for healing. Having appeared from nowhere, it will return to nowhere.	Miracles happen every day. I go within to dissolve the pattern that caused the illness and accept Sacred healing. That is what it truly is.
Nerves	Symbolize connection. Organ of perception.	I communicate easily and joyfully.
Nervous breakdown	Egocentricity. "Clogged" channels of communication.	I open my heart and radiate love in communication. I am completely safe. I feel well.
Nervousness	Fear, worry, struggle, fuss. Distrust of the life process.	I travel through the endless spaces of eternity, and I have all the time I need. I communicate with an open heart; all is well.
Indigestion	Animal fear, terror, restless state. Grumbling and complaints.	I peacefully and joyfully digest and assimilate everything new in my life.
Accidents	Inability to stand up for yourself. Rebellion against authority. Belief in violence.	I release the thought patterns that caused this. My mind is peaceful and calm. I am a worthy person.
Nephritis. See also: Bright's disease	Overreaction to disappointments and failures.	I do only what is right. I release the old and welcome the new. All is well.
Tumors	Holding old hurts in the heart. Growing dislike.	I forgive with ease. I love myself and reward myself with praise.
Legs	Carry us forward through life.	Life is for me.
Legs: disorders in the lower part	Fear of the future. Unwillingness to move.	I move forward with joy and confidence, knowing my future is beautiful.
Nail(s)	Symbol of protection.	My communication is easy and free.
Nail biting (biting nails)	Despair. Self-destructiveness. Hatred of a parent.	Growing up is safe. Now I manage my life easily and joyfully.
Nose	Symbolizes self-recognition.	I acknowledge the intuitive ability within me.
Stuffy nose	Non-recognition of one's own worth.	I love and value myself.
Nasopharyngeal discharge	Inner weeping. Child tears. You are a victim.	I know the creative power in my world is me, and I accept that. From now on I enjoy my own life.
Nosebleed	Need for recognition. Feeling unrecognized and unnoticed. Strong desire for love.	I love and approve of myself. I know my worth. I am a wonderful person.
Sagging facial features	Sagging features result from "sagging" thoughts in the head. Resentment toward life.	I express the joy of life and fully enjoy every moment of every day. I grow young again.
Baldness	Fear. Tension. Desire to control everything. Distrust of the life process.	I am safe. I love and approve of myself. I trust life.
Fainting (vasovagal crisis, Gower's syndrome)	Fear. Can't cope. Memory lapse.	I have enough strength and knowledge to manage everything in my life.
Obesity. See also: Excess weight	Hypersensitivity. Often symbolizes fear and need for protection. Fear may cover hidden anger and unwillingness to forgive.	Sacred love protects me. I am always safe. I want to grow up and take responsibility for my life. I forgive everyone and create the life I love. I am completely safe.
Obesity: hips (upper part)	Lumps of stubbornness and anger at parents.	I send forgiveness to the past. It is safe for me to transcend my parents' limitations.
Obesity: hips (lower part)	Stores of childhood anger. Often anger at father.	I see my father as a child who grew up without love and tenderness, and I forgive easily. We are both free.
Obesity: abdomen	Anger at denial of spiritual nourishment and emotional care.	I grow spiritually. I have enough spiritual nourishment. I feel satisfied and enjoy freedom.
Obesity: arms	Anger over rejected love.	I can receive as much love as I want.
Burns	Anger. Inner boiling. Inflammation.	I create only peace and harmony within me and around me. I deserve to feel well.
