Проблема	Вероятная причина	Аффирмация
Гепатит См. также: «Печень: заболевания»	Сопротивление переменам. Страх, гнев, ненависть. Печень — вместилище гнева и ярости.	Моё сознание чисто и свободно. Я забываю прошлое и иду навстречу новому. Всё идёт хорошо.
Герпес гениталий См. также: «Венерические болезни»	Вера в греховность секса и потребность в наказании. Чувство стыда. Вера в карающего Бога. Неприязнь к гениталиям.	Всё во мне нормально и естественно. Меня радует моя сексуальность и моё тело.
Герпес простой См. также: «Пузырьковый лишай»	Сильнейшее желание делать всё плохо. Невысказанная горечь.	В моих словах и мыслях — только любовь. Между мною и жизнью — мир.
Гипервентиляция лёгких См. также: «Приступы удушья», «Дыхание: болезни»	Страх. Сопротивление переменам. Недоверие к процессу перемен.	Мне безопасно находиться в любой части Вселенной. Я люблю себя и доверяю процессу жизни.
Гипертиреоз (синдром, обусловленный повышением активности щитовидной железы). См. также: «Щитовидная железа»	Гнев за игнорирование вашей личности.	Я нахожусь в центре жизни, я одобряю и себя, и всё, что вижу вокруг.
Гиперфункция (повышенная активность)	Страх. Огромное давление и лихорадочное состояние.	Я — в безопасности. Всякое давление исчезает. Я — в полном порядке.
Гипогликемия (пониженное содержание глюкозы в крови)	Подавленность тяготами жизни. «Кому это надо?»	Теперь моя жизнь будет светлее, легче и радостнее.
Гипотериоз (синдром, обусловленный понижением активности щитовидной железы). См. также: «Щитовидная железа»	Опускаются руки. Чувство безнадёжности, застоя.	Теперь я строю новую жизнь по правилам, которые полностью удовлетворяют меня.
Гипофиз	Символизирует центр управления.	Моё тело и сознание прекрасно взаимодействуют. Я контролирую свои мысли.
Гирсутизм (избыточное оволосение у женщин)	Скрытый гнев. Обычно используемое прикрытие — страх. Стремление обвинять. Часто: нежелание заниматься самовоспитанием.	Я — это мой любящий родитель. Меня окутывают любовь и одобрение. Для меня не опасно показывать, какой я человек.
Глаза	Символизирует способность ясно видеть прошлое, настоящее, будущее.	Я смотрю с любовью и радостью.
Глазные болезни. См. также: «Ячмень»	Не нравится то, что вы видите в собственной жизни.	Отныне я создаю жизнь, на которую мне нравится смотреть.
Глазные болезни: астигматизм	Неприятие собственного «я». Боязнь увидеть себя в истинном свете.	Отныне я хочу видеть свою собственную красоту и величие.
Глазные болезни: близорукость. См. также: «Миопия»	Боязнь будущего.	Я принимаю Божественное руководство, и я всегда в безопасности.
Глазные болезни: глаукома	Упорнейшее нежелание простить. Давят застарелые обиды. Задавленность всем этим.	Я смотрю на всё с любовью и нежностью.
Глазные болезни: дальнозоркость	Ощущение себя не от мира сего.	Здесь и сейчас мне ничто не грозит. Я это ясно вижу.
Глазные болезни: детские	Нежелание видеть, что происходит в семье.	Теперь этого ребёнка окружают гармония, красота и радость, ему обеспечена безопасность.
Глазные болезни: катаракта	Неспособность смотреть вперёд с радостью. Туманное будущее.	Жизнь вечна и полна радости.
Глазные болезни: косоглазие. См. также: «Кератит»	Нежелание видеть «что это там такое». Действие наперекор.	Видеть — совершенно безопасно для меня. В моей душе — покой.
Глазные болезни: экзотропия (расходящееся косоглазие)	Боязнь взглянуть на действительность — прямо здесь.	Я люблю и одобряю себя — прямо сейчас.
Гланды	Символизируют «сдерживание». Что-то может начаться без вашего участия и желания.	Я — созидательная сила в моём собственном мире.
Глухота	Неприятие, упрямство, изоляция.	Я прислушиваюсь к Божественному и радуюсь всему, что я слышу. Я — неотъемлемая часть всего сущего.
Голень	Крушение идеалов. Голени символизируют жизненные принципы.	Я с радостью и любовью живу на уровне моих самых высоких требований.
Голеностопный сустав	Отсутствие гибкости и чувство вины. Лодыжки — символ способности к наслаждению.	Я заслуживаю наслаждения жизнью. Я принимаю все радости, которые предлагает мне жизнь.
Головокружение	Мимолётные, бессвязные мысли. Нежелание видеть.	В жизни я — человек спокойный и целеустремлённый. Я могу совершенно спокойно жить и радоваться.
Головные боли. См. также: «Мигрень»	Недооценка себя. Самокритика. Страх.	Я люблю и одобряю себя. С любовью смотрю на себя. Я — в полной безопасности.
Гонорея. См. также: «Венерические болезни»	Потребность в наказании.	Я люблю моё тело. Я люблю мою сексуальность. Я люблю себя.
Горло	Канал экспрессивности и творчества.	Я открываю сердце и пою о радости любви.
Горло: болезни. См. также: «Ангина»	Неспособность постоять за себя. Проглоченный гнев. Кризис творчества. Нежелание измениться.	Шуметь не запрещается. Моё самовыражение свободно и радостно. Я легко могу постоять за себя. Я демонстрирую мою способность к творчеству. Я хочу измениться.
Грибок	Отсталые убеждения. Нежелание расставаться с прошлым. Ваше прошлое довлеет над настоящим.	Я радостно и свободно живу в сегодняшнем дне.
Грипп (эпидемический). См. также: «Респираторные заболевания»	Реакция не негативный настрой окружения, общепринятые отрицательные установки. Страх. Вера в статистику.	Я — выше общепринятых верований или правил. Я верю в свободу от внешнего воздействия.
Груди	Символизируют материнскую заботу, вынашивание, вскармливание.	Существует устойчивый баланс между тем, что я поглощаю и те, что отдаю другим.
Груди: заболевания	Отказ себе в «питании». Ставите себя на последнее место.	Я нужна. Теперь я забочусь о себе, питаю себя с любовью и радостью.
Груди: киста, уплотнения, болезненные ощущения (мастит)	Избыток заботы. Излишняя протекция. Подавление личности.	Я признаю свободу каждого быть тем, кем он хочет быть. Мы все свободны, мы — в безопасности.
Грыжа	Прерванные отношения. Напряжение, отягощённость, неправильное творческое самовыражение.	В моём сознании — нежность и гармония. Я люблю и одобряю себя. Ничто не мешает мне быть собой.
Грыжа межпозвоночного диска	Ощущение, что жизнь полностью лишила вас поддержки	Жизнь поддерживает все мои мысли, поэтому я люблю и одобряю себя. Всё идёт хорошо.
Депрессия	Гнев, который вы, по вашему мнению, не имеете права чувствовать. Безнадёжность.	Я выхожу за пределы и ограниченности, свойственные другим людям. Я создаю собственную жизнь.
Дёсны: заболевания	Неспособность выполнять решения. Отсутствие чётко выраженного отношения к жизни.	Я — человек решительный. Я иду до конца и с любовью поддерживаю себя.
Детские болезни	Вера в календари, социальные концепции и надуманные правила. Взрослые вокруг ведут себя, как дети.	У этого ребёнка Божественная защита, он окружён любовью. Мы требуем неприкосновенности его психики.
Диабет	Тоска по несбывшемуся. Сильная потребность в контроле. Глубокое горе. Не осталось ничего приятного.	Это мгновение наполнено радостью. Я начинаю вкушать сладость сегодняшнего дня.
Дизентерия	Страх и концентрация гнева.	Я наполняю сознание миром и покоем, и это отражается в моём теле.
Дизентерия амёбная	Уверенность, что они стремятся добраться до вас.	Я — воплощение силы в моём собственном мире. Я пребываю в мире и покое.
Дизентерия бактериальная	Давление и безнадёжность.	Меня переполняют жизнь и энергия, а также радость жизни.
Дисменорея (расстройство менструального цикла). См. также: «Женские болезни», «Менструация»	Гнев, обращённый на себя. Ненависть к женскому телу или женщинам.	Я люблю моё тело. Я люблю себя. Я люблю все мои циклы. Всё идёт хорошо.
Дрожжевая инфекция. См. также: «Кандидоз»,	Отрицание собственных потребностей. Отказ себе в поддержке.	Отныне я поддерживаю себя с любовью и радостью.
«Молочница»		
Дыхание	Символизирует способность вдыхать жизнь.	Я люблю жизнь. Жить — безопасно.
Дыхание: болезни. См. также: «Приступы удушья», «Гипервентиляция лёгких»	Болезнь или отказ вдыхать жизнь полной грудью. Не признаёте своего права занимать пространство или вообще существовать.	Свободно жить и дышать полной грудью — моё право с рождения. Я — человек, достойные любви. Отныне мой выбор — полнокровная жизнь.
Желтуха. См. также: «Печень: заболевания»	Внутренняя и внешняя предвзятость. Односторонние выводы.	Я терпимо, сострадательно и с любовью отношусь ко всем людям, включая себя.
Желчно-каменная болезнь	Горечь. Тяжёлые мысли. Проклятия. Гордость.	От прошлого можно с радостью отказаться. Жизнь — прекрасна, я — тоже.
Желудок	Вместилище пищи. Отвечает также за «усваивание» мыслей.	Я легко «усваиваю» жизнь.
Желудочные болезни. См. также: «Гастрит», «Изжога», «Язва желудка или двенадцатиперстной кишки», «Язва»	Ужас. Боязнь нового. Неспособность усваивать новое.	Жизнь мне не вредит. В любой момент дня я усваиваю что-то новое. Всё идёт хорошо.
Женские болезни. См. также: «Аменорея», «Дисменорея», «Фиброма», «Бели», «Менструации», «Вагинит»	Неприятие самой себя. Отказ от женственности. Отказ от принципа женственности.	Я радуюсь, что я — женщина. Я люблю быть женщиной. Я люблю моё тело.
Жёсткость (тугодумие)	Жёсткое, негибкое мышление.	Моё положение достаточно надёжно, и можно позволить себе гибкость мышления.
Заикание	Ненадёжность. Отсутствует возможность самовыражения. Запрещают плакать.	Я свободно могу постоять за себя. Теперь я спокойно выражаю всё, что хочу. Я общаюсь только с чувством любви.
Запястье	Символизирует движение и лёгкость.	Я действую мудро, с лёгкостью и любовью.
Задержка жидкости. См. также: «Отёки», «Опухание»	Что вы боитесь потерять?	Мне приятно и радостно расстаться с этим.
Запах изо рта. См. также: «Плохой запах изо рта»	Гневные мысли, мысли о мести. Мешает прошлое.	Я с радостью расстаюсь с прошлым. Отныне я выражаю только любовь.
Запах тела	Страх. Неприязнь к себе. Страх перед другими.	Я люблю себя и одобряю. Я — в полной безопасности.
Запор	Нежелание расставаться с устаревшими мыслями. Увязание в прошлом. Иногда в язвительности.	По мере расставания с прошлым, в меня входит новое, свежее, жизненное. Поток жизни я пропускаю через себя.
Запястный синдром. См. также: «Запястье»	Гнев и разочарование, связанные с мнимой несправедливостью жизни.	Я решаю строить жизнь, в которой будут радость и изобилие. Мне — легко.
Зоб. См. также: «Щитовидная железа»	Ненависть к навязанному в жизни. Жертва. Ощущение исковерканной жизни. Несостоявшаяся личность.	Я в моей жизни — сила. Никто не мешает мне быть собой.
Зубы	Символизируют решения.	
Зубные болезни. См. также: «Корневой канал»	Продолжительная нерешительность. Неспособность распознавать идеи для их последующего анализа и принятия решений.	Мои решения основываются на принципах истины, и я знаю, что в моей жизни происходят только правильные события.
Зуб мудрости (с затруднённым прорезом — ретенированный)	Вы не отводите места в сознании для закладки прочного фундамента последующей жизни.	Я открываю жизни дверь в моё сознание. Во мне — обширное пространство для моего собственного роста и изменений.
Зуд	Желания, идущие вразрез с характером. Неудовлетворённость. Раскаяние. Стремление выбраться из ситуации.	Мне мирно и спокойно там, где я есть. Я принимаю всё хорошее во мне, зная, что будут удовлетворены все мои потребности и желания.
Изжога. См. также: «Язва желудка или двенадцатиперстной кишки», «Желудочные болезни», «Язва»	Страх. Страх. Страх. Тиски страха.	Я дышу полной грудью. Я — в безопасности. Я доверяю жизненному процессу.
Излишек веса. См. также: «Ожирение»	Страх. Потребность в защите. Нежелание чувствовать. Беззащитность, отрицание себя. Подавленное стремление достичь желаемого.	У меня нет противоборства чувств. Там, где я нахожусь, быть безопасно. Я сама (сам) создаю себе безопасность. Я люблю и одобряю себя.
Илеит (воспаление подвздошной кишки), болезнь Крона, региональный энтерит	Страх. Беспокойство. Недомогание.	Я люблю и одобряю себя. Я делаю всё самое лучшее из того, что могу. У меня спокойно на душе.
Импотенция	Сексуальное давление, напряжение, чувство вины. Социальные убеждения. Озлобленность на партнёра. Боязнь матери.	Отныне я легко и радостно позволяю моему принципу сексуальности действовать в полную силу.
Инфекция. См. также: «Вирусная инфекция»	Раздражение, гнев, досада.	Отныне я становлюсь миролюбивой и гармоничной личностью.
Искривление позвоночника. См. также: «Покатые плечи»	Неспособность плыть по течению жизни. Страх и попытки удержать устаревшие мысли. Недоверие к жизни. Отсутствие цельности натуры. Никакой смелости убеждений.	Я забываю обо всех страхах. Отныне я доверяюсь жизненному процессу. Я знаю, что жизнь — это для меня. У меня прямая и гордая от любви осанка.
Кандидоз. См. также:	Чувство разбросанности. Сильные разочарования и гнев. Претензии и недоверие к людям.	Я позволяю себе быть тем, кем хочу. Я заслуживаю самого лучшего в жизни. Я люблю и ценю себя и других.
«Молочница», «Дрожжевая инфекция»		
Карбункул. См. также: «Фурункул»	Ядовитый гнев по поводу собственных несправедливых действий.	Я предаю прошлое забвению и позволяю времени залечивать раны, когда-либо нанесённые мне жизнью.
Катаракта	Неспособность с радостью смотреть вперёд. Будущее во мгле.	Жизнь вечна и полна радости. Я с нетерпением жду каждого нового мгновения жизни.
Кашель. См. также: «Респираторные заболевания»	Желание рявкнуть на весь мир: «Посмотрите на меня! Послушайте меня!»	Меня замечают и высоко ценят. Меня любят.
Кератит. См. также: «Глазные болезни»	Сильнейший гнев. Желание ударить того, кого видишь, и то, что видишь.	Я позволяю чувству любви, идущему из моего сердца, излечить всё, что я вижу. Я выбираю мир и покой. Всё в моём мире прекрасно.
Киста	Постоянное «прокручивание» в голове прежних обид. Неправильное развитие.	Я думаю о том, что всё идёт хорошо. Я люблю себя.
Кишечник	Символизирует избавление от ненужного. Ассимиляция. Всасывание. Лёгкое очищение.	Я легко усваиваю и впитываю всё, что мне нужно знать, и с радостью расстаюсь с прошлым. Избавляться — это так легко!
Кишечник: проблемы	Страх перед избавлением от всего отжившего и ненужного	Я легко и свободно отбрасываю старое и с радостью приветствую приход нового.
Кожа	Защищает нашу индивидуальность. Орган чувств.	Оставаясь собой, чувствую себя спокойно.
Кожа: болезни. См. также: «Крапивница», «Псориаз», «Сыпь»	Беспокойство. Страх, застарелый осадок в душе. Мне угрожают.	Я с любовью защищаю себя мирными, радостными мыслями. Прошлое прощено и забыто. Сейчас у меня полная свобода.
Колено. См. также: «Суставы»	Символ гордости. Ощущение исключительности собственного «я».	Я — человек гибкий и податливый.
Колени: заболевания	Упрямство и гордыня. Неспособность быть податливым человеком. Страх. Негибкость. Нежелание уступать.	Прощение. Понимание. Сострадание. Я легко уступаю и поддаюсь, и всё идёт хорошо.
Колики	Раздражение, нетерпение, недовольство окружением.	Вы реагируете только на любовь и ласковые слова. Всё идёт хорошо.
Колиты. См. также: «Кишечник», «Слизистая толстой кишки», «Спастический колит»	Неуверенность. Символизирует способность легко расставаться с прошлым.	Я — часть чёткого ритма и течения жизни. Всё идёт, согласно священному предопределению.
Кома	Страх. Избегание кого-то или чего-то.	Мы окружаем себя защитой и любовью. Мы создаём пространство для своего исцеления.
Ком в горле	Страх. Отсутствие доверия к процессу жизни.	Я — в безопасности. Я верю, что жизнь создана для меня. Я выражаю себя свободно и радостно.
Конъюнктивит. См. также: «Острый эпидемический конъюнктивит»	Гнев и разочарование при виде чего-либо.	Я на всё смотрю влюблёнными глазами. Гармоничное решение существует, и я его принимаю.
Конъюнктивит, острый эпидемический. См. также: «Конъюнктивит»	Гнев и разочарование. Нежелание видеть.	Мне нет необходимости настаивать на своей правоте. Я люблю себя и одобряю.
Корковый паралич. См. также: «Паралич»	Потребность объединить семью изъявлением любви.	Я вношу свой вклад в мирную жизнь семьи, где царит любовь. Всё идёт хорошо.
Коронарный тромбоз. См. также: «Сердце: приступ»	чувство одиночества и страха. «У меня есть недостатки. Я мало делаю. Я никогда не достигну этого».	У меня полное единение с жизнью. Вселенная даёт мне полную поддержку. Всё идёт хорошо.
Корневой канал (зуба). См. также: «Зубы»	Потеря способности уверенно погружаться в жизнь. Разрушение главных (коренных) убеждений.	Я создаю прочную основу для себя и своей жизни. Отныне меня с радостью поддерживают мои убеждения.
Кость (кости). См. также: «Скелет»	Символизирует структуру Вселенной.	Моё тело прекрасно устроено и сбалансировано.
Костный мозг	Символизирует глубочайшие убеждения, касающиеся себя. И то, как вы поддерживаете себя и заботитесь о себе.	Божественный Дух — это основа моей жизни. Я — в безопасности, меня любят и полностью поддерживают.
Костные заболевания: переломы, трещин	Бунт против чужой власти.	Сила в моём собственном мире — я сам.
Костные заболевания: деформации. См. также: «Остеомиелит», «Остеопороз»	Угнетённая психика и напряжённость. Мышцы не эластичны. Тугодумие.	Я вдыхаю жизнь полной грудью. Я расслабляюсь и доверяюсь потоку и процессу жизни.
Крапивница. См. также: «Сыпь»	Мелкие, скрытые страхи. Стремление делать из мухи слона.	Я вношу мир и покой в свою жизнь.
Кровь	Выражение радости, свободно циркулирующей в теле	Я выражаю радость жизни и получаю её.
Кровь: заболевания. См. также: «Лейкемия», «Анемия»	Отсутствие радости. Отсутствие движения мысли.	Новые радостные мысли свободно циркулируют во мне.
Кровь: повышенное давление	Нерешённые застарелые эмоциональные проблемы.	Я с радостью предаю прошлое забвению. В моей душе мир.
